dist_m,radius_m
0.0,0.627
0.01,0.409
0.02,0.439
0.03,1.044
0.04,1.116
0.05,2.483
0.06,3.272
0.07,0.883
0.08,1.032
0.09,0.0
0.1,1.441
0.11,-0.465
0.12,0.903
0.13,0.561
0.14,4.115
0.15,-0.712
0.16,0.607
0.17,0.0
0.18,-1.318
0.19,1.542
0.2,1.516
0.21,-3.245
0.22,-1.486
0.23,-1.377
0.24,1.161
0.25,1.999
0.26,1.671
0.27,0.0
0.28,0.0
0.29,-1.541
0.3,-2.469
0.31,-2.883
0.32,-0.947
0.33,-0.705
0.34,-0.324
0.35,0.935
0.36,-0.205
0.37,-0.126
0.38,-0.1
0.39,-0.1
0.4,-0.1
0.41,-0.1
0.42,-0.1
0.43,-0.1
0.44,-0.1
0.45,-0.1
0.46,-0.1
0.47,-0.1
0.48,-0.1
0.49,-0.1
0.5,-0.1
0.51,-0.1
0.52,-0.11
0.53,-0.1
0.54,-0.1
0.55,-0.244
0.56,-0.1
0.57,-0.1
0.58,-0.486
0.59,-0.1
0.6,-0.104
0.61,-1.118
0.62,-0.1
0.63,-0.176
0.64,-0.497
0.65,-0.1
0.66,-0.164
0.67,0.771
0.68,-0.21
0.69,-0.325
0.7,-4.672
0.71,-0.367
0.72,-0.252
0.73,-0.204
0.74,0.0
0.75,-0.617
0.76,-0.192
0.77,0.0
0.78,1.433
0.79,-0.191
0.8,-0.223
0.81,1.123
0.82,-1.215
0.83,-0.196
0.84,-0.916
0.85,1.347
0.86,-0.389
0.87,-0.298
0.88,2.052
0.89,0.514
0.9,-0.88
0.91,-0.164
0.92,-0.194
0.93,-0.1
0.94,-0.1
0.95,-0.1
0.96,-0.1
0.97,-0.1
0.98,-0.1
0.99,-0.1
1.0,-0.1
1.01,-0.1
1.02,-0.1
1.03,-0.1
1.04,-0.1
1.05,-0.1
1.06,-0.1
1.07,-0.1
1.08,-0.1
1.09,-0.1
1.1,-0.1
1.11,-0.1
1.12,-0.1
1.13,-0.1
1.14,-0.1
1.15,-0.1
1.16,-0.1
1.17,-0.1
1.18,-0.1
1.19,-0.143
1.2,-0.1
1.21,-0.314
1.22,-0.165
1.23,-0.1
1.24,-0.316
1.25,0.419
1.26,-0.369
1.27,-1.067
1.28,0.308
1.29,0.215
1.3,0.164
1.31,0.1
1.32,0.103
1.33,0.1
1.34,0.1
1.35,0.1
1.36,0.1
1.37,0.1
1.38,0.1
1.39,0.1
1.4,0.1
1.41,0.1
1.42,0.1
1.43,0.1
1.44,0.1
1.45,0.1
1.46,0.1
1.47,0.1
1.48,0.1
1.49,0.1
1.5,0.1
1.51,0.1
1.52,0.1
1.53,0.1
1.54,0.1
1.55,0.1
1.56,0.1
1.57,0.1
1.58,0.1
1.59,0.1
1.6,0.1
1.61,0.1
1.62,0.1
1.63,0.1
1.64,0.1
1.65,0.1
1.66,0.1
1.67,0.102
1.68,0.142
1.69,0.198
1.7,0.333
1.71,0.526
1.72,0.432
1.73,0.348
1.74,1.583
1.75,-1.132
1.76,-0.297
1.77,-0.213
1.78,-0.133
1.79,-0.265
1.8,-0.156
1.81,-0.1
1.82,-0.122
1.83,-0.213
1.84,-0.1
1.85,-0.115
1.86,-0.182
1.87,-0.1
1.88,-0.178
1.89,-0.1
1.9,-0.1
1.91,-0.118
1.92,-0.1
1.93,-0.1
1.94,-0.1
1.95,-0.1
1.96,-0.1
1.97,-0.1
1.98,-0.108
1.99,-0.1
2.0,-0.1
2.01,-0.1
2.02,-0.1
2.03,-0.1
2.04,-0.103
2.05,-0.1
2.06,-0.121
2.07,-0.1
2.08,-0.1
2.09,-0.236
2.1,-0.106
2.11,-0.209
2.12,-0.161
2.13,-0.205
2.14,-0.174
2.15,-0.191
2.16,-0.217
2.17,-0.676
2.18,-0.308
2.19,-0.315
2.2,-0.244
2.21,-0.1
2.22,-0.197
2.23,0.16
2.24,0.277
2.25,-0.469
2.26,-0.829
2.27,-0.375
2.28,0.0
2.29,-0.467
2.3,-0.638
2.31,-1.437
2.32,-0.803
2.33,-0.711
2.34,-0.991
2.35,0.0
2.36,-0.677
2.37,-1.299
2.38,-1.07
2.39,-1.346
2.4,-0.753
2.41,2.739
2.42,0.0
2.43,-0.727
2.44,-0.522
2.45,0.568
2.46,0.877
2.47,-0.435
2.48,2.471
2.49,1.42
2.5,-1.194
2.51,-0.55
2.52,0.534
2.53,1.575
2.54,-2.248
2.55,2.727
2.56,0.0
2.57,0.0
2.58,0.0
2.59,-0.705
2.6,-0.302
2.61,-0.204
2.62,-0.168
2.63,-0.142
2.64,-0.117
2.65,-0.107
2.66,-0.1
2.67,-0.103
2.68,-0.1
2.69,-0.1
2.7,-0.1
2.71,-0.1
2.72,-0.1
2.73,-0.1
2.74,-0.1
2.75,-0.1
2.76,-0.1
2.77,-0.1
2.78,-0.1
2.79,-0.1
2.8,-0.1
2.81,-0.1
2.82,-0.1
2.83,-0.1
2.84,-0.1
2.85,-0.1
2.86,-0.1
2.87,-0.1
2.88,-0.112
2.89,-0.1
2.9,-0.1
2.91,-0.1
2.92,-0.1
2.93,-0.1
2.94,-0.1
2.95,-0.14
2.96,-0.1
2.97,-0.336
2.98,-0.143
2.99,-0.155
3.0,-0.484
3.01,-0.1
3.02,-0.157
3.03,-0.241
3.04,-0.1
3.05,-0.164
3.06,-0.12
3.07,-0.119
3.08,-0.1
3.09,-0.114
3.1,-0.109
3.11,-0.1
3.12,-0.1
3.13,-0.102
3.14,-0.1
3.15,-0.1
3.16,-0.1
3.17,-0.1
3.18,-0.1
3.19,-0.1
3.2,-0.1
3.21,-0.1
3.22,-0.1
3.23,-0.1
3.24,-0.1
3.25,-0.114
3.26,-0.1
3.27,-0.1
3.28,-0.1
3.29,-0.1
3.3,-0.1
3.31,-0.1
3.32,-0.1
3.33,-0.1
3.34,-0.1
3.35,-0.149
3.36,-0.1
3.37,-0.1
3.38,-0.1
3.39,-0.1
3.4,-0.1
3.41,-0.111
3.42,-0.1
3.43,-0.1
3.44,-0.1
3.45,-0.1
3.46,-0.1
3.47,-0.119
3.48,-0.139
3.49,-0.1
3.5,-0.147
3.51,-0.141
3.52,-0.101
3.53,-0.134
3.54,-1.069
3.55,-0.144
3.56,-0.117
3.57,-0.345
3.58,-0.534
3.59,-0.211
3.6,-0.381
3.61,-0.402
3.62,-0.254
3.63,-0.336
3.64,-0.54
3.65,-0.396
3.66,-0.218
3.67,-0.34
3.68,-0.395
3.69,-1.641
3.7,0.0
3.71,0.0
3.72,-1.229
3.73,-0.354
3.74,-0.582
3.75,1.491
3.76,0.0
3.77,-1.502
3.78,0.0
3.79,-0.689
3.8,-0.45
