index,dist_m,segment_dist_m,speed_m_s,target_m_s,pwm_l,pwm_r,angle_err_deg,angle_err_rad,radius_m
0,0.01,0.01,0.626,0.9,202,355,0.337,0.005881759579220891,1.7001714989045198
1,0.02,0.01,0.668,0.9,236,255,0.057,0.0009948376736367678,10.051891142646022
2,0.03,0.009999999999999998,0.667,0.9,253,244,0.132,0.0023038346126325153,4.34058935705169
3,0.04,0.010000000000000002,0.67,0.9,307,207,0.316,0.0055152404363020815,1.8131575795279218
4,0.051,0.010999999999999996,0.664,0.9,256,260,0.215,0.0037524578917878084,2.931411975087932
5,0.061,0.010000000000000002,0.669,0.9,205,277,0.148,0.0025830872929516074,3.8713364535866446
6,0.071,0.009999999999999995,0.669,0.9,226,277,0.01,0.00017453292519943296,57.29577951308229
7,0.081,0.010000000000000009,0.673,0.9,435,23,0.055,0.0009599310885968813,10.417414456924067
8,0.091,0.009999999999999995,0.671,0.9,444,113,0.284,0.004956735075663896,2.0174570251085315
9,0.101,0.010000000000000009,0.674,0.9,254,232,-0.12,-0.0020943951023931952,-4.774648292756865
10,0.111,0.009999999999999995,0.673,0.9,387,111,-0.236,-0.004118977034706617,-2.4277872675034873
11,0.121,0.009999999999999995,0.669,0.9,399,131,0.056,0.0009773843811168245,10.231389198764695
12,0.131,0.010000000000000009,0.672,0.9,402,109,0.158,0.0027576202181510408,3.6263151590558462
13,0.141,0.009999999999999981,0.669,0.9,209,330,0.103,0.0017976891295541594,5.5626970401050695
14,0.151,0.010000000000000009,0.667,0.9,515,20,0.057,0.0009948376736367678,10.05189114264603
15,0.161,0.010000000000000009,0.671,0.9,235,275,0.092,0.0016057029118347831,6.2278021209872145
16,0.171,0.010000000000000009,0.669,0.9,509,39,-0.067,-0.0011693705988362008,-8.551608882549608
17,0.181,0.009999999999999981,0.671,0.9,238,291,0.105,0.001832595714594046,5.45674090600783
18,0.192,0.01100000000000001,0.672,0.9,506,8,0.059,0.0010297442586766543,10.68226397701536
19,0.202,0.010000000000000009,0.672,0.9,156,350,0.121,0.0021118483949131386,4.73518838951094
20,0.212,0.009999999999999981,0.683,0.9,343,154,0.055,0.0009599310885968813,10.417414456924039
21,0.222,0.010000000000000009,0.681,0.9,356,147,0.227,0.003961897402027128,2.5240431503560514
22,0.232,0.010000000000000009,0.683,0.9,296,239,0.212,0.0037000980142279784,2.702631109107659
23,0.242,0.009999999999999981,0.677,0.9,391,125,-0.225,-0.003926990816987242,-2.5464790894703206
24,0.253,0.01100000000000001,0.678,0.9,155,352,0.25,0.004363323129985824,2.5210142985756243
25,0.263,0.010000000000000009,0.676,0.9,171,358,0.222,0.0038746309394274117,2.5808909690577644
26,0.273,0.010000000000000009,0.678,0.9,240,280,0.326,0.005689773361501515,1.7575392488675572
27,0.283,0.009999999999999953,0.683,0.9,231,280,-0.012,-0.00020943951023931956,-47.74648292756838
28,0.293,0.010000000000000009,0.683,0.9,262,271,-0.284,-0.004956735075663896,-2.017457025108534
29,0.304,0.01100000000000001,0.68,0.9,276,243,-0.007,-0.00012217304763960306,-90.03622494912945
30,0.314,0.010000000000000009,0.681,0.9,334,206,0.194,0.0033859387488689996,2.9533906965506374
31,0.324,0.010000000000000009,0.676,0.9,176,356,-0.393,-0.0068591439603377154,-1.457907875650951
32,0.334,0.010000000000000009,0.678,0.9,241,282,0.312,0.005445427266222308,1.8364031895218709
33,0.344,0.009999999999999953,0.674,0.9,931,375,0.071,0.001239183768915974,8.069828100434092
34,0.355,0.01100000000000001,0.684,0.9,123,392,-0.653,-0.011397000015522973,-0.9651662705113416
35,0.365,0.010000000000000009,0.685,0.9,427,79,0.247,0.004310963252425994,2.3196671867644683
36,0.375,0.010000000000000009,0.686,0.9,457,76,-0.336,-0.005864306286700947,-1.7052315331274515
37,0.385,0.010000000000000009,0.686,0.9,388,121,-0.834,-0.014556045961632708,-0.6869997543535057
38,0.396,0.01100000000000001,0.676,0.9,1010,514,-0.558,-0.00973893722612836,-1.1294866929102259
39,0.406,0.010000000000000009,0.695,0.9,510,110,-0.968,-0.01689478715930511,-0.5918985486888675
40,0.416,0.009999999999999953,0.68,0.9,772,274,-0.918,-0.016022122533307946,-0.6241370317329199
41,0.427,0.01100000000000001,0.7,0.9,898,388,-1.357,-0.02368411794956305,-0.46444625987023297
42,0.437,0.010000000000000009,0.696,0.9,430,6,-1.314,-0.022933626371205492,-0.4360409399777958
43,0.447,0.010000000000000009,0.685,0.9,1085,537,-1.103,-0.019250981649497456,-0.5194540300370115
44,0.458,0.01100000000000001,0.683,0.9,718,189,-2.135,-0.037262779530078935,-0.2952007375381293
